Filename,Section_Context,Q_No,Question,QCategory-New,QSubCategory-New,Question Form,Answer
kannada-1std,"ಬಿಟ್ಟಿರುವ ಪದವನ್ನು ಮಕ್ಕಳಿಂದ ಹೇಳಿಸಿ,",1,ನವಮಾಸ ಹೊತ್ತು ಸಾಕಿದ,factual knowledge/context based,,Fill in the blanks,
kannada-1std,"ಬಿಟ್ಟಿರುವ ಪದವನ್ನು ಮಕ್ಕಳಿಂದ ಹೇಳಿಸಿ,",2,ಮೈಮುರಿ ದುಡಿದು ಬೆಳೆಸಿದ,factual knowledge/context based,,Fill in the blanks,
kannada-1std,"ಬಿಟ್ಟಿರುವ ಪದವನ್ನು ಮಕ್ಕಳಿಂದ ಹೇಳಿಸಿ,",3,ವಿದ್ಯಾ ಬುದ್ದಿ ಕಲಿಸಿ ಹರಸಿದ,factual knowledge/context based,,Fill in the blanks,
kannada-1std,"ಬಿಟ್ಟಿರುವ ಪದವನ್ನು ಮಕ್ಕಳಿಂದ ಹೇಳಿಸಿ,",4,ನಿತ್ಯದಿ ದುಡಿದು ಅನ್ನವ ನೀಡುವ,factual knowledge/context based,,Fill in the blanks,
kannada-1std,"ಬಿಟ್ಟಿರುವ ಪದವನ್ನು ಮಕ್ಕಳಿಂದ ಹೇಳಿಸಿ,",5,ರೋಗ ವಾಸಿ ಮಾಡುವ,factual knowledge/context based,,Fill in the blanks,
kannada-1std,"ಬಿಟ್ಟಿರುವ ಪದವನ್ನು ಮಕ್ಕಳಿಂದ ಹೇಳಿಸಿ,",6,ನಾಡಿನ ರಕ್ಷಣೆ ಮಾಡುವ,factual knowledge/context based,,Fill in the blanks,
kannada-1std,ಬಿಟ್ಟಿರುವ ಪದ್ಯದ ಸಾಲುಗಳನ್ನು ಮಕ್ಕಳಿಂದ ಹೇಳಿಸಿ.,1,ನವಮಾಸ ಹೊತ್ತು ನನ್ನನು,poem based/factual knowledge,,,
kannada-1std,ಬಿಟ್ಟಿರುವ ಪದ್ಯದ ಸಾಲುಗಳನ್ನು ಮಕ್ಕಳಿಂದ ಹೇಳಿಸಿ.,2,ಮೈಮುರಿ ದುಡಿದು ನನ್ನನು ಸಲುಹಿ,poem based/factual knowledge,,,
kannada-1std,ಬಿಟ್ಟಿರುವ ಪದ್ಯದ ಸಾಲುಗಳನ್ನು ಮಕ್ಕಳಿಂದ ಹೇಳಿಸಿ.,3,ವಿದ್ಯಾ ಬುದ್ಧಿ ಬಾಲ್ಯದಿ ಕಲಿಸಿ,poem based/factual knowledge,,,
kannada-1std,ಬಿಟ್ಟಿರುವ ಪದ್ಯದ ಸಾಲುಗಳನ್ನು ಮಕ್ಕಳಿಂದ ಹೇಳಿಸಿ.,4,ಬಗೆ ಬಗೆ ರೋಗವ ವಾಸಿ ಮಾಡುವ,poem based/factual knowledge,,,
